time,lat,lon,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2022-11-18T08:12:39.614Z,31.62771827,-103.9838138,7.661193848,2.5,ml,50,49,0.021300908,0.2,tx,tx2022wpct,2022-11-18T19:06:51.469Z,"37 km WSW of Mentone, Texas",earthquake,0.423085026,0.546479168,0,7,reviewed,tx,tx
2022-11-18T05:34:56.995Z,31.66548399,-104.5398877,6.131567383,2.9,ml,38,79,0.03349556,0.2,tx,tx2022woxo,2022-11-18T06:01:05.023Z,"58 km SSW of Whites City, New Mexico",earthquake,1.274915122,0.65860474,0.1,23,reviewed,tx,tx
2022-11-18T03:34:03.001Z,31.63077607,-103.9971448,9.473608398,2.7,ml,69,31,0.020737828,0.2,tx,tx2022wotl,2022-11-18T08:48:33.649Z,western Texas,earthquake,0.50605852,0.548088359,0.2,40,reviewed,tx,tx
2022-11-18T03:10:16.172Z,31.64886475,-104.5844846,7.018513997,2.9,ml,39,80,0.073980744,0.2,tx,tx2022wost,2022-11-18T14:25:28.535Z,"61 km SSW of Whites City, New Mexico",earthquake,1.186820826,1.21013552,0.1,23,reviewed,tx,tx
2022-11-18T01:49:19.379Z,35.87416667,-97.58933333,9.75,2.64,ml,90,32,0,0.16,ok,ok2022woqc,2022-11-18T13:57:52.613Z,,earthquake,,2.1,0.23,43,reviewed,ok,ok
2022-11-17T19:00:24.883Z,31.6348178,-103.9911103,6.427209473,2.5,ml,40,32,0.027257114,0.2,tx,tx2022wocp,2022-11-18T16:56:07.217Z,"37 km WSW of Mentone, Texas",earthquake,0.385934505,0.539881323,0.2,25,reviewed,tx,tx
2022-11-17T14:43:12.764Z,30.71228027,-104.673447,6.602783203,2.5,ml,36,138,0.278154846,0.3,tx,tx2022wnud,2022-11-24T20:32:03.040Z,"21 km NW of Valentine, Texas",earthquake,1.788578841,2.101719389,0.1,19,reviewed,tx,tx
2022-11-17T13:23:21.942Z,44.2235,-116.2207,10,3.4,ml,16,64,0.857,0.64,us,us7000iqeg,2022-11-21T17:42:08.335Z,"13 km SW of Smiths Ferry, Idaho",earthquake,2.3,1.987,0.028,162,reviewed,us,us
2022-11-17T12:31:55.560Z,31.61738727,-103.980808,8.22677002,2.5,ml,23,87,0.012210386,0.2,tx,tx2022wnpu,2022-11-19T05:44:00.985Z,"37 km WSW of Mentone, Texas",earthquake,0.564571955,0.46599425,0.2,16,reviewed,tx,tx
2022-11-17T11:29:42.805Z,31.6196887,-103.9797423,6.350085449,2.5,ml,21,86,0.012944339,0.1,tx,tx2022wnns,2022-11-17T20:40:08.077Z,"37 km WSW of Mentone, Texas",earthquake,0.594104472,0.404008745,0.2,15,reviewed,tx,tx
2022-11-17T05:23:15.064Z,31.63748457,-104.0174897,7.224157715,2.7,ml,73,39,0.017715896,0.3,tx,tx2022wnbq,2022-11-17T09:02:34.533Z,"40 km W of Mentone, Texas",earthquake,0.481850458,0.520037299,0.2,38,reviewed,tx,tx
2022-11-17T04:38:31.981Z,31.63563504,-103.9872129,8.625244141,3.8,ml,61,57,0.030502619,0.2,tx,tx2022wnac,2022-11-21T16:46:04.438Z,"37 km WSW of Mentone, Texas",earthquake,0.456523627,0.578106525,0.2,33,reviewed,tx,tx
2022-11-17T01:49:06.251Z,31.61709197,-104.0004432,8.021105957,2.5,ml,46,34,0.01501811,0.2,tx,tx2022wmuo,2022-11-17T13:55:13.104Z,"38 km NNW of Toyah, Texas",earthquake,0.416554837,0.447136667,0.2,36,reviewed,tx,tx
2022-11-17T01:07:11.932Z,31.61013778,-103.9841374,9.627856445,2.9,ml,52,42,0.013061864,0.2,tx,tx2022wmtf,2022-11-17T05:55:45.040Z,"37 km NNW of Toyah, Texas",earthquake,0.478306294,0.392517917,0.1,30,reviewed,tx,tx
2022-11-17T01:04:09.070Z,31.61714426,-103.9848418,9.229382324,3.5,ml,73,39,0.015099338,0.2,tx,tx2022wmtd,2022-11-18T01:08:58.194Z,"37 km WSW of Mentone, Texas",earthquake,0.407798999,0.512390826,0.2,43,reviewed,tx,tx
2022-11-17T00:21:03.814Z,31.61147683,-103.960608,6.118713379,2.5,ml,35,49,0.007065361,0.1,tx,tx2022wmrr,2022-11-17T14:36:50.467Z,"35 km WSW of Mentone, Texas",earthquake,0.474597497,0.47034279,0.2,30,reviewed,tx,tx
2022-11-16T23:15:03.852Z,31.61717663,-103.9748891,7.738317871,2.8,ml,67,41,0.008289409,0.2,tx,tx2022wmpl,2022-11-17T16:45:52.409Z,"36 km WSW of Mentone, Texas",earthquake,0.397993219,0.596445002,0.1,36,reviewed,tx,tx
2022-11-16T22:50:36.340Z,31.6073499,-103.9932696,8.496704102,2.6,ml,33,57,0.021108834,0.2,tx,tx2022wmor,2022-11-17T15:47:18.277Z,"37 km NNW of Toyah, Texas",earthquake,0.551444074,0.513917609,0.2,18,reviewed,tx,tx
2022-11-16T22:39:13.563Z,31.62947111,-104.0091105,8.123937988,4,ml,65,28,0.01217681,0.2,tx,tx2022wmog,2022-11-17T22:45:13.244Z,"39 km WSW of Mentone, Texas",earthquake,0.348737141,0.420217237,0.2,53,reviewed,tx,tx
2022-11-16T22:01:04.256Z,31.63447804,-103.9896289,5.874487305,2.6,ml,18,83,0.029693731,0.1,tx,tx2022wmnb,2022-11-17T00:42:35.778Z,"37 km WSW of Mentone, Texas",earthquake,0.543891078,0.661073849,0.2,12,reviewed,tx,tx
2022-11-16T21:52:02.421Z,31.62852652,-103.9826069,8.702368164,2.5,ml,48,36,0.02137164,0.3,tx,tx2022wmmt,2022-11-17T09:59:13.110Z,"37 km WSW of Mentone, Texas",earthquake,0.592532123,0.774035769,0.2,27,reviewed,tx,tx
2022-11-16T21:46:03.596Z,31.60882457,-103.9636898,8.650952148,2.6,ml,28,47,0.041801135,0.2,tx,tx2022wmmo,2022-11-17T02:54:28.476Z,"36 km WSW of Mentone, Texas",earthquake,0.597543612,0.931127986,0.1,17,reviewed,tx,tx
2022-11-16T21:40:29.772Z,31.61834703,-103.9681694,5.604553223,3.4,ml,31,76,0.007681257,0.2,tx,tx2022wmmk,2022-11-17T02:39:19.321Z,western Texas,earthquake,0.44128086,0.476866547,0.2,18,reviewed,tx,tx
2022-11-16T21:39:45.025Z,31.6365363,-103.992598,5.334619141,2.8,ml,25,58,0.027232747,0.2,tx,tx2022wmmj,2022-11-17T00:19:15.740Z,western Texas,earthquake,0.572185539,0.645716145,0.1,14,reviewed,tx,tx
2022-11-16T21:36:30.788Z,31.63425093,-103.9888208,6.620019531,2.6,ml,13,86,0.028614274,0.1,tx,tx2022wmmh,2022-11-17T23:21:17.289Z,"37 km WSW of Mentone, Texas",earthquake,0.638139173,0.809471249,0.1,7,reviewed,tx,tx
2022-11-16T21:32:44.481Z,31.6367452,-103.9987871,6.902807617,5.4,ml,42,46,0.023451524,0.1,tx,tx2022wmmd,2022-11-26T21:42:46.665Z,"38 km WSW of Mentone, Texas",earthquake,0.462810906,0.629622792,0.2,21,reviewed,tx,tx
2022-11-16T13:47:44.447Z,47.2851,-114.1267,11.888,3.7,mwr,41,50,0.474,0.82,us,us7000iq4e,2022-11-22T21:40:16.736Z,"4 km ENE of Ravalli, Montana",earthquake,4.96,6.818,0.047,43,reviewed,us,us
2022-11-16T10:29:50.960Z,42.214,-111.091,7.6,3.04,ml,29,100,0.1986,0.21,uu,uu60525377,2022-11-26T08:34:06.040Z,"18 km NNW of Taylor, Wyoming",earthquake,0.44,1.29,0.207,13,reviewed,uu,uu
2022-11-16T10:20:08.970Z,42.2158333,-111.0901667,7.23,2.6,ml,30,100,0.1991,0.2,uu,uu60525372,2022-11-26T08:32:31.040Z,"18 km NNW of Taylor, Wyoming",earthquake,0.44,1.1,0.195,11,reviewed,uu,uu
2022-11-16T09:58:54.140Z,42.2126667,-111.091,9.49,3.57,ml,26,100,0.1978,0.24,uu,uu60525357,2022-11-26T08:33:21.120Z,"17 km NNW of Taylor, Wyoming",earthquake,0.47,1.11,0.218,17,reviewed,uu,uu
2022-11-16T09:41:58.110Z,42.2076667,-111.0896667,10.25,2.97,ml,26,99,0.1942,0.2,uu,uu60525337,2022-11-24T13:52:46.040Z,"17 km NNW of Taylor, Wyoming",earthquake,0.48,0.86,0.166,13,reviewed,uu,uu
2022-11-16T09:18:22.180Z,42.2151667,-111.0913333,7.61,2.81,ml,30,100,0.1995,0.2,uu,uu60525317,2022-11-24T13:46:00.040Z,"18 km NNW of Taylor, Wyoming",earthquake,0.46,0.99,0.192,13,reviewed,uu,uu
2022-11-16T05:22:16.280Z,37.4401667,-122.4241667,10.54,2.83,md,122,155,0.01136,0.12,nc,nc73808001,2022-11-23T07:06:37.040Z,"3km S of Half Moon Bay, CA",earthquake,0.13,0.18,0.156,143,reviewed,nc,nc
2022-11-15T19:28:25.937Z,38.2014,-117.8786,8.2,2.5,ml,20,84.6,0.084,0.1476,nn,nn00851327,2022-11-15T19:59:11.800Z,"29 km SE of Mina, Nevada",earthquake,,1.4,0.41,7,reviewed,nn,nn
2022-11-15T10:49:13.730Z,35.28233333,-98.01733333,7.9,2.92,ml,96,33,0,0.17,ok,ok2022wjvk,2022-11-15T23:59:43.704Z,"7 km WSW of Minco, Oklahoma",earthquake,,0.3,0.27,54,reviewed,ok,ok
2022-11-15T10:40:53.304Z,31.56097224,-104.1038136,7.057055664,2.7,ml,52,64,0.025486455,0.2,tx,tx2022wjvc,2022-11-15T15:03:50.040Z,"40 km NW of Toyah, Texas",earthquake,0.702936523,0.611718387,0.1,29,reviewed,tx,tx
2022-11-15T04:01:52.499Z,39.3318,-117.4792,9.2,3,ml,12,72.82,0.496,0.123,nn,nn00851287,2022-11-16T03:50:45.040Z,"37 km WNW of Kingston, Nevada",earthquake,,1.9,0.05,2,reviewed,nn,nn
2022-11-15T02:23:33.302Z,45.7212,-73.6966,7.952,3,mb_lg,28,82,0.227,0.39,us,us7000iprx,2022-11-20T03:22:50.714Z,"4 km WNW of Terrebonne, Canada",earthquake,1.85,7.558,0.073,50,reviewed,us,us
2022-11-14T20:29:54.130Z,38.8171667,-122.7993333,3.39,2.69,md,44,32,,0.03,nc,nc73805095,2022-11-22T18:41:37.040Z,"6km NW of The Geysers, CA",earthquake,0.18,0.31,0.279,28,reviewed,nc,nc
2022-11-14T20:27:18.830Z,38.82,-122.793,2.92,2.96,md,85,26,,0.05,nc,nc73805070,2022-11-20T17:42:17.449Z,"6km NNW of The Geysers, CA",earthquake,0.1,0.16,0.155,117,reviewed,nc,nc
2022-11-14T15:45:04.890Z,44.7905,-110.8218333,7.63,2.59,ml,26,103,0.02053,0.21,uu,uu60524952,2022-11-14T17:00:54.040Z,Wyoming,earthquake,0.46,0.7,0.286,5,reviewed,uu,uu
2022-11-14T14:11:53.427Z,32.27325439,-101.9349038,7.898885091,2.9,ml,38,84,0.045857232,0.2,tx,tx2022wigo,2022-11-20T18:23:58.040Z,"21 km NW of Stanton, Texas",earthquake,1.363739816,0.785767704,0.2,33,reviewed,tx,tx
2022-11-14T05:36:13.104Z,44.3576,-115.1455,10,2.6,ml,12,67,0.951,0.26,us,us7000ipke,2022-11-14T12:41:28.040Z,"22 km NW of Stanley, Idaho",earthquake,1.88,2.012,0.048,56,reviewed,us,us
2022-11-13T18:43:11.714Z,32.6524,-93.9825,5,3,mb_lg,26,130,0.417,0.45,us,us7000iphl,2022-11-17T01:28:08.189Z,"4 km SSW of Mooringsport, Louisiana",earthquake,4.33,1.99,0.071,124,reviewed,us,us
2022-11-13T12:14:56.703Z,31.68403456,-104.3844888,7.416967773,2.5,ml,48,68,0.035497058,0.2,tx,tx2022wghf,2022-11-15T05:32:56.040Z,"54 km S of Whites City, New Mexico",earthquake,0.658670213,0.804785491,0.1,27,reviewed,tx,tx
2022-11-13T06:46:45.620Z,31.56471977,-104.1141859,6.81282959,2.6,ml,62,65,0.016745166,0.2,tx,tx2022wfwk,2022-11-14T16:50:19.845Z,"41 km NW of Toyah, Texas",earthquake,0.520768013,0.532038746,0.1,36,reviewed,tx,tx
